estudiante_skey,id_estudiante,dni,nombre,apellido,genero,fecha_nacimiento,nacionalidad,anio_ingreso,edad_ingreso,egreso_carrera,anio_egreso,abandono_carrera,anio_abandono,nombre_programa,tipo_programa,duracion_programa,anio_plan_programa,facultad_programa,valid_from,valid_to,es_actual,total_inscripciones,es_ingresante_sin_cursada
495,91282,20100526,Julián,Condori,M,2004-05-01,Paraguaya,2020,16,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
521,67551,20105379,Federico,Vargas,M,2005-05-16,Argentina,2020,15,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
581,54708,20118636,Emilio,Díaz,M,2002-05-24,Argentina,2021,19,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
612,65050,20124758,Matías,Lima,M,2007-01-25,Boliviana,2020,13,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
722,109133,20143517,Lucas,Cruz,M,2005-05-20,Argentina,2020,15,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
830,101638,20165741,Emilio,García,M,2005-07-19,Argentina,2024,19,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
834,67750,20166566,Sergio,Pérez,M,2001-03-26,Argentina,2024,23,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
870,51269,20172865,Emilio,Fuentes,M,2005-02-27,Boliviana,2020,15,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
872,101939,20173532,Sergio,Carrizo,M,2005-02-02,Argentina,2020,15,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
915,78487,20180945,Diego,Medina,M,1999-04-04,Argentina,2020,21,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
950,61019,20188084,Federico,Acosta,M,2007-11-27,Argentina,2024,17,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
999,91824,20196333,Ignacio,Huanca,M,2001-09-10,Brasileña,2024,23,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1112,120936,20218702,Leandro,Ojeda,M,2003-03-26,Argentina,2024,21,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1190,74272,20234468,Alejandra,Ramos,F,2005-12-07,Argentina,2020,15,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1201,28508,20236271,Ramiro,Acosta,M,2000-07-09,Argentina,2020,20,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1237,93536,20241470,Soledad,Medina,F,2001-07-10,Argentina,2020,19,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1298,54580,20254971,Ezequiel,López,M,2004-08-14,Argentina,2020,16,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1396,100437,20277087,Sergio,Vargas,M,1998-05-14,Argentina,2020,22,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1432,46420,20283520,Sebastián,Díaz,M,1999-02-20,Paraguaya,2024,25,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1506,122170,20296054,Pablo,García,M,2001-12-03,Argentina,2020,19,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1524,56625,20299291,Tomás,Gómez,M,1999-07-11,Argentina,2020,21,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1548,19977,20304274,Lucas,Apaza,M,2002-05-26,Paraguaya,2020,18,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1558,38261,20306144,Romina,Villalba,F,2001-07-02,Boliviana,2021,20,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1580,91,20310954,Ramiro,Ramos,M,2007-08-10,Argentina,2024,17,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1651,111131,20326030,Pablo,Ruiz,M,2007-09-23,Argentina,2020,13,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1655,9814,20326350,Rodrigo,García,M,2007-12-25,Argentina,2020,13,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1656,68855,20326375,Claudio,Morales,M,2003-03-06,Argentina,2024,21,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1665,13349,20327927,Martín,García,M,2007-05-13,Argentina,2024,17,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1667,20179,20328350,Alejandro,Ramos,M,2000-01-18,Argentina,2020,20,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1700,80704,20335024,Ezequiel,Fuentes,M,1998-09-14,Peruana,2020,22,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1711,30453,20337418,Gabriela Gabriela,Apaza,F,2002-01-12,Boliviana,2021,19,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1727,46241,20342814,Santiago,Carrizo,M,2003-01-09,Argentina,2020,17,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1828,47072,20360044,Cristian,Carrizo,M,2004-02-19,Argentina,2024,20,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1867,99399,20368559,Damián,Romero,M,2004-07-09,Argentina,2020,16,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1892,50852,20374452,Lucas,Suárez,M,2005-10-06,Argentina,2024,19,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1908,27711,20378817,Gastón,Álvarez,M,2003-08-30,Argentina,2020,17,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
1968,22539,20390258,Claudia,Álvarez,F,2003-07-26,Argentina,2020,17,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2114,103833,20415253,Tomás,Acosta,M,2003-05-22,Argentina,2020,17,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2118,22580,20416447,Mariela,Oliveira,F,2001-05-21,Chilena,2020,19,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2169,19137,20430202,Martín,Condori,M,2006-04-11,Peruana,2021,15,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2232,46545,20446343,Santiago,Díaz,M,1998-03-29,Argentina,2021,23,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2289,35586,20459653,Federico,Rodríguez,M,2005-05-21,Argentina,2020,15,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2374,117394,20476510,Gonzalo,Rojas,M,1997-09-27,Argentina,2020,23,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2379,10212,20477122,Hernán,Santos,M,2003-01-01,Chilena,2024,21,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2381,111915,20477202,Maximiliano,Acosta,M,2001-09-29,Argentina,2024,23,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2400,92320,20481351,Gonzalo,Vera,M,2004-03-11,Argentina,2020,16,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2402,109675,20481666,Iván,Álvarez,M,2004-04-24,Argentina,2020,16,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2405,38381,20482604,Andrea,Santos,F,2006-04-02,Chilena,2024,18,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2439,5801,20491730,Emilio Emilio,Ramos,M,2004-10-26,Argentina,2024,20,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2444,55084,20492833,Claudio,Álvarez,M,2006-06-01,Argentina,2024,18,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2547,7768,20513527,Matías,Ramos,M,2005-12-21,Argentina,2020,15,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2550,121461,20514744,Diego,Vera,M,2006-02-08,Argentina,2021,15,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2630,71580,20529327,Tomás,González,M,2007-01-16,Argentina,2024,17,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2638,119566,20532045,Mariela,Silva,F,2001-09-04,Paraguaya,2020,19,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2770,101628,20557099,Ezequiel,Molina,M,2007-07-25,Argentina,2020,13,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2785,34775,20560599,Agustín,Cabrera,M,2007-09-14,Argentina,2020,13,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2786,84434,20561246,Sebastián,Silva,M,2003-09-04,Paraguaya,2020,17,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2794,17917,20562463,Damián,Torres,M,2007-02-08,Argentina,2021,14,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2809,7304,20565154,Lucas,Rodríguez,M,2003-06-18,Argentina,2020,17,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2951,127978,20592901,Emilio,Ríos,M,2007-11-20,Argentina,2020,13,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
2952,29779,20593120,Facundo,Morales,M,2006-03-12,Argentina,2020,14,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3028,25458,20608741,Cristian,Acosta,M,2001-03-11,Argentina,2024,23,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3044,67871,20611037,Alejandro,Reyes,M,2001-07-08,Argentina,2020,19,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3055,30415,20613034,Gabriela,Pérez,F,2005-02-21,Argentina,2024,19,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3059,21024,20613595,Diego,Ramos,M,2004-05-03,Argentina,2020,16,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3068,22002,20614973,Leandro,Moreno,M,2004-05-11,Argentina,2020,16,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3098,70226,20621214,Facundo,Flores,M,2006-12-10,Argentina,2024,18,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3141,28652,20628438,Mariana,Castro,F,2002-10-31,Argentina,2020,18,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3147,56742,20630757,Mariela,Castro,F,1999-05-05,Argentina,2020,21,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3172,76177,20634195,Martín,Álvarez,M,2003-10-08,Argentina,2024,21,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3228,40123,20643829,Gastón,Vera,M,2004-09-12,Argentina,2024,20,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3236,56904,20644472,Mariana,Sánchez,F,2001-05-26,Argentina,2024,23,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3283,129828,20655504,Mariela,Bogado,F,2002-07-07,Chilena,2024,22,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3297,29445,20658556,Sebastián,Ortega,M,2003-11-20,Argentina,2020,17,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3324,89654,20663702,Santiago,Ríos,M,2002-04-24,Argentina,2020,18,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3374,69634,20671769,Mariela,López,F,1999-12-02,Argentina,2020,21,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3376,122857,20671958,Matías,Flores,M,2007-06-05,Argentina,2024,17,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3491,8974,20693359,Jimena,Cabrera,F,2001-02-20,Argentina,2024,23,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3573,88369,20708823,Soledad,Ruiz,F,2000-02-01,Argentina,2020,20,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3574,67181,20708876,Ramiro,García,M,2002-01-10,Argentina,2024,22,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3579,33565,20709519,Facundo,Álvarez,M,2004-10-10,Argentina,2020,16,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3620,94186,20719364,Maximiliano,Romero,M,2003-06-06,Argentina,2020,17,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3650,96173,20725184,Rodrigo,Castro,M,2007-09-12,Argentina,2024,17,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3659,65658,20726079,Leandro,Vargas,M,2003-12-16,Argentina,2020,17,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3696,37116,20733551,Rodrigo,Castro,M,2004-03-05,Argentina,2020,16,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3717,62612,20737880,Cristian,Cabrera,M,1998-04-14,Argentina,2020,22,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3728,97161,20739251,Tomás,Mendoza,M,2005-11-14,Argentina,2024,19,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3766,13068,20745866,Julián,Molina,M,2001-01-20,Argentina,2020,19,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3784,85814,20750787,Matías,Ledesma,M,2003-09-19,Argentina,2020,17,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
3875,102642,20767624,Ramiro,Bogado,M,2006-06-05,Peruana,2024,18,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4196,17387,20834351,Patricia,Mendoza,F,1997-07-02,Argentina,2024,27,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4204,26968,20836070,Rodrigo,Apaza,M,2006-08-24,Uruguaya,2020,14,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4205,69105,20836081,Sebastián,Sánchez,M,2005-02-02,Argentina,2020,15,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4326,53939,20860183,Leandro,Cabrera,M,2006-05-01,Argentina,2020,14,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4329,55306,20860632,Damián,Cabrera,M,2007-09-09,Argentina,2020,13,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4363,13619,20869342,Noelia,Álvarez,F,2005-03-07,Argentina,2024,19,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4369,10778,20870720,Ignacio,Rojas,M,2006-05-27,Argentina,2020,14,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4385,75753,20873842,Leandro,Martínez,M,1999-05-02,Argentina,2020,21,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4409,54834,20878701,Mariana,Álvarez,F,2003-09-03,Argentina,2020,17,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4443,96369,20885370,Nicolás,Acosta,M,2005-01-30,Argentina,2020,15,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4469,2904,20890912,Tomás,Medina,M,2001-04-01,Argentina,2020,19,0,,1,2020.0,Ingeniería Eléctrica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4482,23215,20895177,Alejandra,Ramírez,F,2006-05-02,Argentina,2024,18,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4514,108095,20903137,Agustín,Muñoz,M,2002-04-23,Uruguaya,2020,18,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4535,127354,20907039,Laura,Sánchez,F,2003-06-13,Argentina,2020,17,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4580,104850,20914157,Florencia,Peralta,F,2001-11-14,Argentina,2020,19,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4661,48511,20930843,Ignacio,Rodríguez,M,2003-06-21,Argentina,2020,17,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4665,77659,20932135,Federico,Núñez,M,2001-09-28,Argentina,2020,19,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4734,33313,20949430,Sebastián,Ramos,M,2006-01-01,Argentina,2020,14,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4776,1621,20956028,Diego,López,M,2000-07-18,Argentina,2024,24,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4839,90024,20970307,Claudio,Mendoza,M,2000-08-11,Argentina,2024,24,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4881,73887,20978948,Tomás,Mendoza,M,2007-05-31,Argentina,2020,13,0,,1,2020.0,Ingeniería Química,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4906,127889,20982773,Agustín,Morales,M,2000-03-27,Argentina,2020,20,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4911,119356,20983629,Paola,Álvarez,F,2000-04-08,Argentina,2020,20,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
4929,32681,20987440,Matías,Ríos,M,2002-10-26,Argentina,2020,18,0,,1,2020.0,Ingeniería Electrónica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
5087,35634,21017477,Gabriela,Gómez,F,2001-03-03,Argentina,2021,20,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
5101,45887,21019524,Hernán,Rodríguez,M,1999-08-18,Argentina,2020,21,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
5110,89176,21022141,Facundo,Vera,M,2005-12-06,Argentina,2020,15,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
5132,68908,21025814,Rodrigo,González,M,2002-03-24,Argentina,2020,18,0,,1,2020.0,Ingeniería Mecánica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
5208,95683,21041021,Ignacio,Mendoza,M,2004-11-21,Argentina,2020,16,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
5403,115774,21079775,Pablo,Ríos,M,2004-08-07,Argentina,2021,17,0,,1,2021.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
5459,72977,21094036,Leandro,Morales,M,2004-10-15,Argentina,2024,20,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
5565,118392,21115312,Cristian,Vega,M,2002-12-09,Argentina,2024,22,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
5588,37504,21119246,Santiago,Ortega,M,2003-06-07,Argentina,2020,17,0,,1,2020.0,Ingeniería Aeronáutica,Grado,5,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
5613,54024,21123846,Ezequiel,Torres,M,2004-05-25,Argentina,2020,16,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
5639,112979,21128381,Tomás,Ramírez,M,2003-10-12,Argentina,2024,21,0,,1,2024.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
5660,90142,21132974,Jimena,Huanca,F,2005-08-15,Brasileña,2020,15,0,,1,2020.0,Tecnicatura Universitaria En Programación,Pregrado,3,,Facultad Regional Buenos Aires,2026-05-26,,1,,1
